distance_ft,slope_percent,stimpmeter,optimal_speed_mps,max_make_probability,break_inches
8,1.0,10,1.8399999999999999,0.6375,2.1192031111711427
10,1.0,10,2.0,0.4125,3.114653683796911
15,1.0,10,1.5,0.0,6.375657228718155
20,1.0,10,1.5,0.0,7.585156168602805
8,2.0,10,1.8399999999999999,0.525,3.978295808861648
10,2.0,10,2.0,0.3,6.513388751713115
15,2.0,10,1.5,0.0,13.432764409766987
20,2.0,10,1.5,0.0,16.062552875870846
8,3.0,10,1.8399999999999999,0.5,6.575704803092657
10,3.0,10,2.0,0.15,11.117470807813598
15,3.0,10,1.5,0.0,20.745963571247945
20,3.0,10,1.5,0.0,24.529916169732115
8,1.0,12,1.68,0.625,2.298807262222418
10,1.0,12,1.8399999999999999,0.525,3.3526713833118915
15,1.0,12,1.5,0.0,8.32824001195574
20,1.0,12,1.5,0.0,9.794172741431007
8,2.0,12,1.68,0.5875,4.944715013377954
10,2.0,12,2.0,0.4125,12.498129564078724
15,2.0,12,1.5,0.0,16.590740384649983
20,2.0,12,1.5,0.0,20.693271743685965
8,3.0,12,1.8399999999999999,0.3625,23.07540113574902
10,3.0,12,1.8399999999999999,0.35,10.485532875204571
15,3.0,12,1.5,0.0,25.796159467234446
20,3.0,12,1.5,0.0,32.79290974831818
8,1.0,13,1.68,0.6875,4.3485328834225285
10,1.0,13,1.8399999999999999,0.5625,4.036510087045566
15,1.0,13,2.0,0.025,4.038857713741317
20,1.0,13,1.5,0.0,11.399425114464249
8,2.0,13,1.68,0.5,9.765204436060767
10,2.0,13,1.8399999999999999,0.35,9.151181107924097
15,2.0,13,2.0,0.025,8.398005380650707
20,2.0,13,1.5,0.0,22.867421486930603
8,3.0,13,1.68,0.4125,18.86664673239663
10,3.0,13,2.0,0.35,36.02893440043115
15,3.0,13,1.5,0.0,29.002400666573138
20,3.0,13,1.5,0.0,38.18734666718753
