speed_mps,break_inches,break_m,made
0.9,8.943947624904071,0.22717672402601147,False
0.9789473684210527,9.516686184230418,0.24172431252807766,False
1.0578947368421052,10.289867291952621,0.26136315194190046,False
1.1368421052631579,10.936967012251353,0.2777995177102198,False
1.2157894736842105,10.897367306330448,0.2767936831681597,False
1.2947368421052632,11.150204490409234,0.2832157604879155,False
1.3736842105263158,10.528034372032664,0.26741260787484544,False
1.4526315789473685,9.534822468507452,0.24218497507003942,False
1.5315789473684212,8.14021011235606,0.20676175037734468,False
1.6105263157894738,7.20690456376983,0.18305574203123776,False
1.6894736842105265,5.000704320312585,0.12701814377222723,False
1.768421052631579,7.014243895818533,0.1781621512780933,False
1.8473684210526315,7.024321095244201,0.178418112655428,True
1.926315789473684,9.037115754155277,0.22954319924194252,True
2.0052631578947366,12.564025779301318,0.3191268930480396,True
2.0842105263157893,16.59156616074853,0.4214266233362594,True
2.163157894736842,19.508394088285975,0.49551420087086556,True
2.2421052631578946,22.72299240132987,0.5771651613241013,True
2.3210526315789473,26.24981624384296,0.6667466660869434,False
2.4,30.103389527597216,0.7646276232562158,False
